City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Naze,JP,2021-04-02 00:06:30,28.3667,129.4833,69.8,94,75,18.41
68,Ushuaia,AR,2021-04-02 00:05:02,-54.8,-68.3,50.0,66,20,6.91
69,Muzhi,RU,2021-04-02 00:08:04,65.3667,64.6667,24.84,98,100,1.9
70,Chokurdakh,RU,2021-04-02 00:08:04,70.6333,147.9167,0.61,90,90,3.69
71,Aykhal,RU,2021-04-02 00:08:05,66.0,111.5,-16.17,97,100,13.8
72,Khandyga,RU,2021-04-02 00:08:06,62.6667,135.6,21.63,90,100,4.52
73,Ambilobe,MG,2021-04-02 00:08:06,-13.2,49.05,71.91,91,23,2.66
74,Qaanaaq,GL,2021-04-02 00:08:07,77.484,-69.3632,3.65,95,100,3.6
75,Portland,US,2021-04-02 00:03:07,45.5234,-122.6762,68.0,32,75,5.75
76,Castro,BR,2021-04-02 00:08:07,-24.7911,-50.0119,55.15,78,0,5.08
77,Grindavik,IS,2021-04-02 00:08:07,63.8424,-22.4338,41.0,75,90,8.05
78,Lorengau,PG,2021-04-02 00:08:08,-2.0226,147.2712,82.54,79,99,6.78
79,Isangel,VU,2021-04-02 00:08:08,-19.55,169.2667,78.8,94,90,10.02
80,Tautira,PF,2021-04-02 00:08:08,-17.7333,-149.15,86.0,70,75,11.5
81,Hobyo,SO,2021-04-02 00:08:09,5.3505,48.5268,80.55,73,7,8.28
82,Port Elizabeth,ZA,2021-04-02 00:04:52,-33.918,25.5701,60.8,88,90,4.61
83,Benguela,AO,2021-04-02 00:08:09,-12.5763,13.4055,78.26,81,6,3.62
84,Kyra,RU,2021-04-02 00:08:10,49.5776,111.9753,23.45,67,45,8.21
85,Kieta,PG,2021-04-02 00:08:10,-6.2167,155.6333,84.49,72,63,5.84
86,Chulman,RU,2021-04-02 00:08:10,56.8479,124.9104,17.42,90,96,9.1
87,Port-Gentil,GA,2021-04-02 00:08:11,-0.7193,8.7815,80.6,89,20,5.75
88,Ankazoabo,MG,2021-04-02 00:08:11,-22.2833,44.5167,67.78,73,0,5.32
89,Tezu,IN,2021-04-02 00:08:11,27.9167,96.1667,64.44,83,90,4.36
90,Paamiut,GL,2021-04-02 00:08:12,61.994,-49.6678,35.74,89,100,28.16
91,Gornopravdinsk,RU,2021-04-02 00:08:12,60.05,69.9,32.36,98,100,6.02
92,Yumen,CN,2021-04-02 00:08:12,40.2833,97.2,35.49,27,84,16.22
93,Saint Anthony,US,2021-04-02 00:08:13,45.0205,-93.218,44.01,24,1,6.91
94,Esperance,AU,2021-04-02 00:08:13,-33.8667,121.9,75.2,17,0,20.71
95,Aquin,HT,2021-04-02 00:08:14,18.2833,-73.4,77.86,76,34,4.65
