City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kamen-Na-Obi,RU,53.7884,81.3423,30.83,81,31,4.38,scattered clouds
80,Pisco,PE,-13.7,-76.2167,73.4,78,0,3.44,clear sky
81,Manaure,CO,11.7751,-72.4445,79.02,73,94,12.48,overcast clouds
82,Antalaha,MG,-14.9003,50.2788,79.05,78,17,3.62,few clouds
83,Cockburn Town,TC,21.4612,-71.1419,75.78,76,79,27.25,broken clouds
84,Porto Novo,BJ,6.4965,2.6036,82.4,83,20,8.05,few clouds
85,Nuevitas,CU,21.5453,-77.2644,66.2,82,85,9.22,overcast clouds
86,Saint-Philippe,RE,-21.3585,55.7679,86.0,58,0,4.61,clear sky
87,Avarua,CK,-21.2078,-159.775,80.6,83,20,10.36,few clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,64.0,94,6,11.16,fog
89,Arraial Do Cabo,BR,-22.9661,-42.0278,73.94,80,34,7.63,scattered clouds
90,Erzin,TR,36.9559,36.2,61.0,89,22,1.28,few clouds
91,Salinas,US,36.6777,-121.6555,51.8,71,1,3.44,clear sky
92,Bethel,US,41.3712,-73.414,33.01,64,1,2.91,clear sky
93,Sangar,RU,63.9242,127.4739,1.78,82,98,3.76,overcast clouds
94,Namatanai,PG,-3.6667,152.4333,80.83,83,100,11.7,moderate rain
95,Lethem,GY,3.3803,-59.7968,77.76,80,100,10.04,overcast clouds
96,Lukovetskiy,RU,64.2956,41.9211,30.2,74,40,4.47,scattered clouds
97,Barrow,US,71.2906,-156.7887,-11.2,70,1,9.22,clear sky
98,Pemangkat,ID,1.1667,108.9667,84.43,66,66,9.28,broken clouds
99,Constitucion,CL,-35.3333,-72.4167,55.65,72,0,3.85,clear sky
100,Trujillo,PE,-8.116,-79.03,71.1,82,73,4.16,broken clouds
101,Thompson,CA,55.7435,-97.8558,23.0,80,1,2.73,clear sky
102,Hilo,US,19.7297,-155.09,69.8,88,90,8.05,moderate rain
103,Nalut,LY,30.3333,10.85,68.68,14,71,21.09,broken clouds
104,Port Alfred,ZA,-33.5906,26.891,61.23,76,0,6.93,clear sky
105,Cadillac,US,44.2519,-85.4012,30.2,86,1,5.88,clear sky
106,Bengkulu,ID,-3.8004,102.2655,81.18,69,94,21.25,moderate rain
107,Nongstoin,IN,25.5167,91.2667,78.46,12,0,9.13,clear sky
108,Puerto Escondido,MX,15.85,-97.0667,80.15,75,0,7.36,clear sky
109,Umm Kaddadah,SD,13.6017,26.6876,70.48,10,90,16.93,overcast clouds
110,Rathcoole,IE,53.2828,-6.4728,37.99,86,0,3.44,clear sky
111,Taltal,CL,-25.4,-70.4833,62.62,87,83,1.01,broken clouds
112,Hasaki,JP,35.7333,140.8333,71.6,56,75,16.11,broken clouds
113,Itoman,JP,26.1247,127.6694,71.6,78,75,23.02,broken clouds
114,Carahue,CL,-38.7,-73.1667,41.0,100,20,3.44,fog
115,East London,ZA,-33.0153,27.9116,53.6,94,0,6.91,clear sky
116,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,68,3.49,broken clouds
117,Alofi,NU,-19.0595,-169.9187,82.4,78,21,2.3,few clouds
118,San Jose,US,37.3394,-121.895,52.0,62,40,8.05,scattered clouds
119,Wajir,KE,1.7471,40.0573,80.6,78,75,5.75,broken clouds
120,Ribeira Grande,PT,38.5167,-28.7,58.15,89,100,31.05,overcast clouds
121,Chauk,MM,20.8833,94.8167,93.06,27,91,14.23,overcast clouds
122,Poum,NC,-20.2333,164.0167,80.55,81,98,20.76,overcast clouds
123,Bokoro,TD,12.3807,17.0568,75.94,14,100,11.61,overcast clouds
124,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.22,87,23,6.06,few clouds
125,Necochea,AR,-38.5473,-58.7368,62.01,88,4,7.0,clear sky
126,Jerantut,MY,3.936,102.3626,91.22,56,66,1.45,moderate rain
127,Padang,ID,-0.9492,100.3543,84.2,65,75,2.3,heavy intensity rain
128,Myrtle Beach,US,33.6891,-78.8867,46.4,66,1,5.75,clear sky
129,Nongpoh,IN,25.9,91.8833,82.4,44,20,5.75,haze
130,Luena,AO,-11.7833,19.9167,58.15,89,94,3.62,overcast clouds
131,Okhotsk,RU,59.3833,143.3,29.03,62,100,9.89,overcast clouds
132,Manggar,ID,-2.8833,108.2667,88.3,59,68,10.04,broken clouds
133,Westport,US,41.1415,-73.3579,37.99,70,1,4.0,clear sky
134,Aitape,PG,-3.1374,142.3475,82.22,75,78,5.03,broken clouds
135,Lima,PE,-12.0432,-77.0282,71.01,83,75,2.3,broken clouds
136,San Vicente,AR,-26.6167,-54.1333,61.65,78,21,2.24,few clouds
137,Narsaq,GL,60.9167,-46.05,37.4,93,90,3.44,heavy intensity drizzle
138,Cabo San Lucas,MX,22.8909,-109.9124,70.0,55,87,7.47,overcast clouds
139,Esperance,AU,-33.8667,121.9,82.4,42,37,17.27,scattered clouds
140,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,83,20,6.91,few clouds
141,Lasa,IT,46.6166,10.7002,37.99,80,0,9.22,clear sky
142,Asau,RO,46.4333,26.4,39.2,87,20,6.91,few clouds
143,Laem Sing,TH,12.4816,102.0738,87.01,89,75,3.44,broken clouds
144,Georgetown,MY,5.4112,100.3354,88.0,70,40,3.44,scattered clouds
145,Muramatsu,JP,37.6833,139.1833,62.01,88,75,6.91,broken clouds
146,Geraldton,AU,-28.7667,114.6,87.8,37,22,16.11,few clouds
147,Kargasok,RU,59.0556,80.8572,35.56,92,96,9.44,overcast clouds
