City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Cap-Haitien,HT,74.55,broken clouds,19.7578,-72.2042,Habitation Jouissant
239,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
240,Saint George,US,71.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
242,Puerto El Triunfo,SV,82.4,clear sky,13.2833,-88.55,Hotel Jardin
245,Gwadar,PK,83.71,clear sky,25.1216,62.3254,Sadaf Resort
246,Faanui,PF,82.81,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
247,Coahuayana,MX,71.26,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
255,Catia La Mar,VE,68.0,overcast clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
261,Ribas Do Rio Pardo,BR,71.26,overcast clouds,-20.4431,-53.7592,Pousada Avenida
265,Morant Bay,JM,78.01,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
266,Atambua,ID,72.39,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
269,Honiara,SB,84.63,overcast clouds,-9.4333,159.95,Heritage Park Hotel
272,Sao Miguel Do Araguaia,BR,72.66,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
275,Anito,PH,84.11,overcast clouds,12.4497,125.2886,The Yellow House
277,Port Lincoln,AU,73.29,clear sky,-34.7333,135.8667,Port Lincoln Hotel
278,Ballina,AU,69.8,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
279,Mandapam,IN,84.58,broken clouds,9.2833,79.1167,Tanvi Chachaa Chalet
280,Monrovia,LR,77.0,mist,6.3005,-10.7969,Sunset Inn
281,Norsup,VU,83.91,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
283,Bambous Virieux,MU,84.99,light rain,-20.3428,57.7575,Casa Tia Villa
285,Tshikapa,CD,69.17,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
289,Porto Belo,BR,73.99,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
290,Sinnamary,GF,77.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
295,Tchollire,CM,74.55,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
299,Bam,IR,76.55,broken clouds,29.105999999999998,58.357,Bam Tourist Hotel
303,Meulaboh,ID,84.51,overcast clouds,4.1363,96.1285,Kost Pria
305,Bandarbeyla,SO,80.24,overcast clouds,9.4942,50.8122,JABIR HOTEL
308,Rawson,AR,66.67,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
312,Luangwa,ZM,67.24,few clouds,-15.6167,30.4167,Gerasimos Safari Lodge
319,Omboue,GA,76.15,overcast clouds,-1.5746,9.2618,Hotel Olako
320,Kahului,US,73.4,light rain,20.8947,-156.47,Maui Seaside Hotel
327,Okitipupa,NG,75.97,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
332,Gibara,CU,69.8,few clouds,21.1097,-76.1317,Sol y Mar
336,Ambilobe,MG,78.04,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
337,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
338,Mersing,MY,82.4,heavy intensity rain,2.4312,103.8405,Timotel Hotel
342,Tamboril,DO,73.0,broken clouds,19.4854,-70.611,Camp David Ranch Restaurant
349,Paragominas,BR,71.53,overcast clouds,-2.9667,-47.4833,.
352,Matamoros,MX,70.0,scattered clouds,25.5333,-103.25,Quinta Belem
355,Darab,IR,74.08,broken clouds,28.7519,54.5444,Naghshe shapoor Hotel
356,Cobija,BO,70.86,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
357,Ipora,BR,69.39,moderate rain,-16.4419,-51.1178,Oásis Motel
360,Acarau,BR,77.94,broken clouds,-2.8856,-40.12,castelo pizzaria
361,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
365,Teacapan,MX,68.94,clear sky,22.55,-105.75,Hotel los Mangos
374,Sawtell,AU,73.4,light rain,-30.3833,153.1,Island Beach House Sawtell
380,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
381,Kutum,SD,65.3,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
382,Morondava,MG,77.14,clear sky,-20.2833,44.2833,La Case Bambou
384,Conde,BR,75.2,clear sky,-7.2597,-34.9075,Pousada Beija Flor
386,Ariquemes,BR,72.9,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
389,Alta Floresta,BR,71.98,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
392,Viedma,AR,72.32,overcast clouds,-40.8135,-62.9967,Hotel Cristal
393,Acapulco,MX,78.46,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
394,Kisangani,CD,69.8,mist,0.5167,25.2,Grand Ramela Hotel
397,Victor Harbor,AU,69.01,clear sky,-35.5667,138.6167,McCracken Country Club
408,Hirara,JP,71.6,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
409,Pajapan,MX,67.39,scattered clouds,18.25,-94.7,Hotel Del Carmen
410,Mackay,AU,80.6,moderate rain,-21.15,149.2,International Lodge Motel
411,Campo Grande,BR,77.0,clear sky,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
417,Birnin Kebbi,NG,73.94,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
418,Dunedin,NZ,66.99,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
419,Boulsa,BF,76.17,clear sky,12.6675,-0.5758,AUBERGE Kiswendsida
421,Katsuura,JP,71.01,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
429,Cairns,AU,80.6,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
433,Gushikawa,JP,69.8,overcast clouds,26.3544,127.8686,Kirari Guest House
434,Meadow Lake,US,66.0,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
435,Bom Jardim,BR,70.81,scattered clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
443,Zlitan,LY,75.4,overcast clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
452,Pakenham,AU,75.0,clear sky,-38.0667,145.4833,Pakenham Ranges
456,Qeshm,IR,82.4,haze,26.9581,56.2719,Qeshm Kavan Hotel
463,Port Macquarie,AU,75.2,light rain,-31.4333,152.9167,Rydges Port Macquarie
471,Sambava,MG,77.99,few clouds,-14.2667,50.1667,Melrose
475,Domoni,KM,82.22,light rain,-12.2569,44.5319,Al Djadid
478,Iquitos,PE,75.2,moderate rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
489,Victoria,HK,77.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
490,Carutapera,BR,75.04,broken clouds,-1.195,-46.02,Lidera
491,Inhambane,MZ,75.2,scattered clouds,-23.865,35.3833,Oceano
496,Mazatlan,MX,73.99,few clouds,23.2167,-106.4167,Hotel Club Playamar
498,Sao Joao Da Barra,BR,70.63,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
501,Biloela,AU,75.74,overcast clouds,-24.4167,150.5,Silo Motor Inn
504,Shimoda,JP,68.0,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
507,Baglung,NP,80.46,clear sky,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
510,La Romana,DO,72.37,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
511,Mwene-Ditu,CD,65.08,overcast clouds,-7.0,23.45,Hôtel Kamas
514,Gisborne,NZ,73.99,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
520,Siuna,NI,68.36,clear sky,13.7332,-84.7773,hotel los chinitos
522,Sijunjung,ID,73.94,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
523,Caravelas,BR,74.28,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
525,Veraval,IN,84.69,clear sky,20.9,70.3667,Lords Inn Somnath
530,Cuencame,MX,71.15,broken clouds,24.8711,-103.6964,Hotel La Casa Del Viajero
532,Tabou,CI,78.15,scattered clouds,4.423,-7.3528,hotêl doufoulougou
534,Mount Gambier,AU,68.0,clear sky,-37.8333,140.7667,Commodore on the Park
536,Khash,IR,79.18,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
545,Muli,MV,83.05,few clouds,2.9167,73.5667,Medhufushi Island Resort
546,Wynyard,AU,66.65,clear sky,-41.0,145.7167,Burnie Airport Motel
550,Libertador General San Martin,AR,68.0,overcast clouds,-23.8064,-64.7876,Posada del Sol
553,Bocas Del Toro,PA,76.41,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
559,Hualmay,PE,69.46,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
564,Champerico,GT,82.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
567,Payakumbuh,ID,70.66,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
571,Hervey Bay,AU,72.0,light rain,-25.2986,152.8535,Shelly Bay Resort
574,Governador Dix-Sept Rosado,BR,74.97,few clouds,-5.4577,-37.5209,clovis olveira
578,Lastoursville,GA,71.26,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
579,Juquia,BR,66.15,broken clouds,-24.3208,-47.6347,Casa Quero Verde
583,Port-Gentil,GA,79.88,overcast clouds,-0.7193,8.7815,Fengshui Residence
586,Ferkessedougou,CI,78.69,scattered clouds,9.6,-5.2,Hotel Chateau
588,Akoupe,CI,73.65,scattered clouds,6.39,-3.9003,Hotel le Pavillon
590,Nishihara,JP,71.6,overcast clouds,26.1842,127.7558,Minshuku Agaihama
593,Kaeo,NZ,71.01,few clouds,-35.1,173.7833,Bushido Lodge
599,Pandan,PH,84.6,scattered clouds,14.0453,124.1694,Bonifacio Lodge
600,Cacu,BR,68.5,few clouds,-18.5567,-51.1308,Império Hotel
601,Cidreira,BR,71.47,scattered clouds,-30.1811,-50.2056,Hotel Castelo
609,Marsh Harbour,BS,67.46,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
611,Umm Lajj,SA,74.5,few clouds,25.0213,37.2685,Moon light Furnished Units
615,Douala,CM,78.8,scattered clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
616,Isiro,CD,68.56,overcast clouds,2.7739,27.616,Guest House Hewa Bora
618,Sibolga,ID,84.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
622,Dubbo,AU,82.4,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
623,Bowen,AU,80.6,heavy intensity rain,-20.0167,148.2333,Castle Motor Lodge Motel
625,Kudahuvadhoo,MV,82.42,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
628,Ixtapa,MX,75.0,few clouds,20.7,-105.2,Hotel Plaza Providencia
629,Tambura,SS,71.67,broken clouds,5.6,27.4667,Rikito Lodge
631,Tual,ID,84.29,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
632,Ginir,ET,66.7,few clouds,7.1333,40.7,Sura Dare Village
633,Itarema,BR,78.1,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
634,Ulladulla,AU,84.2,few clouds,-35.35,150.4667,Sandpiper Motel
635,Kembolcha,ET,66.4,few clouds,11.0816,39.7434,Tekle Hotel Kombolcha
638,Vao,NC,76.26,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
639,Daru,PG,81.41,overcast clouds,-9.0763,143.2092,Daru Lodge
642,Kavaratti,IN,82.49,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
645,Faya,SA,68.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
649,Palmares Do Sul,BR,69.96,scattered clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
650,Vega De Alatorre,MX,71.64,overcast clouds,20.0333,-96.6333,El Polo Norte
651,Makakilo City,US,73.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
654,Punta Alta,AR,65.03,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
656,Sao Filipe,CV,72.93,overcast clouds,14.8961,-24.4956,Tortuga B&B
658,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
659,Ambovombe,MG,74.44,broken clouds,-25.1667,46.0833,RELAHARA
660,Waddan,LY,66.74,clear sky,29.1614,16.139,محل الشريف محمد العايب
664,Beira,MZ,75.2,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
665,Camana,PE,69.64,overcast clouds,-16.6228,-72.7111,Hostal Morales
670,San Policarpo,PH,83.93,broken clouds,12.1791,125.5072,JM Lodge
672,Miranda,CO,71.6,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
674,Kandrian,PG,83.89,moderate rain,-6.2167,149.55,Kandrian Station
676,Dakar,SN,66.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
679,Fortuna Foothills,US,79.0,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
680,Zorritos,PE,75.52,overcast clouds,-3.6805,-80.6782,COSTA AZUL ZORRITOS MANGO
681,Tucuman,AR,69.8,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
684,Esmeraldas,BR,68.0,few clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
685,Luang Prabang,LA,75.2,moderate rain,19.8856,102.1347,Villa Oasis
688,Lashio,MM,79.0,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
690,Pindobacu,BR,67.95,clear sky,-10.7417,-40.3608,Hotel Valmont
691,Hobyo,SO,84.11,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
693,Nouadhibou,MR,66.2,overcast clouds,20.930999999999997,-17.0347,El Medina
696,Itapuranga,BR,67.84,overcast clouds,-15.5622,-49.9486,Terraço Hotel
